season,section,division,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity
2022-2023,57,Wad Elnaw,0.76,0.36,0.64,3.16,1.93,0.38,0.78,0.36,0.64,3.06,1.87,0.38,0.13,0.09,0.32,0.37,0.23,0.09,0.89,0.68,0.91,7.51,4.59,0.49,0.08,0.09,0.09,1.01,0.62,0.04
2022-2023,88,Elbasatna,0.76,0.36,0.64,3.16,1.93,0.38,0.78,0.37,0.63,3.12,1.91,0.38,0.02,0.06,0.38,0.24,0.15,0.16,0.89,0.62,0.94,6.45,3.95,0.49,0.09,0.09,0.09,0.93,0.57,0.04
2022-2023,Abdah_Fadul,Tabat,0.76,0.29,0.71,2.62,1.61,0.36,0.78,0.29,0.71,2.51,1.54,0.36,0.12,0.05,0.36,0.28,0.17,0.21,0.89,0.64,0.95,7.09,4.34,0.52,0.08,0.1,0.1,1.01,0.62,0.04
2022-2023,Abu_Gin,Kab_Elgidad,0.78,0.27,0.73,2.23,1.36,0.34,0.81,0.28,0.72,2.21,1.35,0.33,0.0,0.03,0.44,0.01,0.01,0.01,0.9,0.56,0.97,6.33,3.87,0.74,0.11,0.08,0.08,0.8,0.49,0.06
2022-2023,Abu_Hawa,Elhafair,0.76,0.31,0.69,3.21,1.96,0.43,0.77,0.31,0.69,3.17,1.94,0.42,0.33,0.07,0.31,0.71,0.43,0.23,0.88,0.69,0.93,8.15,4.98,0.6,0.06,0.08,0.08,0.89,0.55,0.04
2022-2023,Abu_Quta,Abd_ElMagid,0.8,0.24,0.76,2.0,1.22,0.34,0.83,0.25,0.75,1.99,1.22,0.33,0.0,0.02,0.54,0.04,0.02,0.08,0.91,0.46,0.98,5.22,3.2,0.73,0.09,0.09,0.09,0.82,0.5,0.05
2022-2023,Abu_Usher,Al_Gourashi,0.74,0.29,0.71,2.53,1.55,0.34,0.77,0.3,0.7,2.44,1.49,0.34,0.0,0.04,0.36,0.01,0.01,0.01,0.89,0.64,0.96,6.68,4.09,0.64,0.1,0.09,0.09,0.98,0.6,0.05
2022-2023,Affan,Matouri,0.76,0.3,0.7,2.9,1.78,0.41,0.77,0.3,0.7,2.85,1.74,0.4,0.12,0.06,0.43,0.25,0.15,0.16,0.88,0.57,0.94,5.97,3.66,0.58,0.07,0.08,0.08,0.85,0.52,0.04
2022-2023,Al_Awamrah,Abd_ElMagid,0.79,0.24,0.76,1.99,1.22,0.33,0.82,0.24,0.76,1.95,1.2,0.33,0.07,0.03,0.52,0.11,0.07,0.12,0.9,0.48,0.97,5.8,3.55,0.75,0.1,0.08,0.08,0.79,0.48,0.05
2022-2023,Al_Saadana,Turabi,0.76,0.27,0.73,2.28,1.4,0.33,0.8,0.28,0.72,2.25,1.38,0.33,0.0,0.03,0.39,0.0,0.0,0.0,0.88,0.61,0.97,6.8,4.16,0.63,0.12,0.09,0.09,0.85,0.52,0.05
