index,polygon_id,season,uncultivated_pct,wheat_pct,sorgum_pct,cotton_pct,others_pct
0,0,2020,5.74,18.89,13.58,16.19,45.6
1,1,2020,4.73,8.91,8.07,18.28,60.02
2,2,2020,13.88,19.55,14.7,7.37,44.49
3,3,2020,12.22,27.95,18.28,2.24,39.3
4,4,2020,11.05,32.74,19.29,1.18,35.74
5,5,2020,29.31,10.84,18.69,1.9,39.26
6,6,2020,9.27,19.42,13.22,11.41,46.68
7,7,2020,6.25,34.36,20.11,2.93,36.34
8,8,2020,22.38,18.16,16.31,3.1,40.05
9,9,2020,5.15,20.83,15.63,12.94,45.45
10,10,2020,32.71,10.7,11.69,6.34,38.57
11,11,2020,11.06,17.01,14.9,11.54,45.48
12,12,2020,13.83,16.87,6.62,17.12,45.56
13,13,2020,21.61,20.23,11.78,1.94,44.45
14,14,2020,14.05,19.3,17.03,9.05,40.57
15,15,2020,9.6,43.54,23.33,1.46,22.07
16,16,2020,9.04,31.54,22.35,0.89,36.19
17,17,2020,9.38,36.64,11.71,1.97,40.31
18,18,2020,13.33,16.97,19.16,3.76,46.78
19,19,2020,11.96,12.3,13.35,4.39,57.99
20,20,2020,11.9,12.39,16.33,7.6,51.78
21,21,2020,11.89,9.38,7.65,10.11,60.97
22,22,2020,7.32,31.63,10.59,1.62,48.84
23,23,2020,8.11,14.56,15.86,4.13,57.33
24,24,2020,5.94,13.73,9.89,10.23,60.22
25,25,2020,7.26,6.73,9.77,6.5,69.74
26,26,2020,3.6,16.39,7.07,7.78,65.16
27,27,2020,8.11,25.06,16.66,4.2,45.96
28,28,2020,2.76,2.91,8.79,11.14,74.41
29,29,2020,7.18,6.87,8.41,11.0,66.54
30,30,2020,4.68,17.29,11.0,7.31,59.72
31,31,2020,6.62,5.34,9.42,11.24,67.37
32,32,2020,11.52,17.56,11.82,19.71,39.4
33,33,2020,11.19,8.31,16.89,8.39,55.22
34,34,2020,3.92,20.16,15.38,25.97,34.57
35,35,2020,6.22,5.02,16.96,18.96,52.85
36,36,2020,3.98,3.78,13.28,25.63,53.33
37,37,2020,12.67,5.86,16.17,19.9,45.4
38,38,2020,16.43,22.38,17.42,4.19,39.58
39,39,2020,4.17,29.69,22.84,5.36,37.94
40,40,2020,6.65,33.15,11.93,8.07,40.2
41,41,2020,2.03,26.82,11.85,8.48,50.81
42,42,2020,5.25,43.31,18.14,5.54,27.76
43,43,2020,9.02,36.73,16.05,1.06,37.14
44,44,2020,70.15,,22.24,1.21,6.4
45,45,2020,70.59,0.22,10.93,7.68,10.58
46,46,2020,3.02,39.23,18.66,5.06,34.03
47,47,2020,15.31,27.9,10.63,3.15,43.01
48,48,2020,22.45,15.96,15.11,2.84,43.65
49,49,2020,4.48,34.73,22.82,3.49,34.48
50,50,2020,7.04,36.09,13.85,5.31,37.71
51,51,2020,12.7,30.84,13.57,1.52,41.36
52,52,2020,11.53,39.26,16.3,2.54,30.38
53,53,2020,1.78,41.75,28.02,4.75,23.7
54,54,2020,2.44,35.71,17.08,8.25,36.53
55,55,2020,4.24,40.22,31.67,2.06,21.81
56,56,2020,5.6,39.66,24.31,3.19,27.25
57,57,2020,16.29,27.56,22.76,2.25,31.13
58,58,2020,14.59,33.08,24.07,1.28,26.99
59,59,2020,24.88,15.42,18.98,0.67,40.05
60,60,2020,41.64,14.15,22.63,0.27,21.31
61,61,2020,5.49,33.74,20.03,2.49,38.24
62,62,2020,3.44,24.66,3.22,13.26,55.42
63,63,2020,9.86,29.55,37.01,0.58,23.01
64,64,2020,9.51,27.83,29.9,1.81,30.95
65,65,2020,5.72,18.85,18.39,4.86,52.17
66,66,2020,4.96,20.42,12.24,3.39,58.99
67,67,2020,20.37,23.88,30.76,1.16,23.84
68,0,2021,3.97,19.95,13.91,16.5,45.68
69,1,2021,3.22,13.48,8.89,13.67,60.73
70,2,2021,13.48,22.67,18.99,5.27,39.57
71,3,2021,13.62,27.48,18.99,2.1,37.81
72,4,2021,12.25,28.37,12.98,2.0,44.4
73,5,2021,32.05,11.35,20.68,0.91,35.01
74,6,2021,5.99,26.47,14.23,10.03,43.28
75,7,2021,5.08,28.4,22.1,2.38,42.03
76,8,2021,24.64,15.29,17.74,4.03,38.31
